No;Þirket Adý;Þirket Adý2;Column1;Column2;Column3;Column4;Column5
89;cnbm international corporation;http://www.icnbm.com; BOYALAR VE BÝTÝRME;CEPHE VE ÇATI;SERAMÝK VE DOÐAL TAÞ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
90;cohui adhesive;http://www.cohui.cn; BANYO, MUTFAK, HAVUZ VE SPA;SERAMÝK VE DOÐAL TAÞ;YAPI KÝMYASALLARI VE YALITIM;;
91;concertina razor wire ji?letli? tel panel çi?t metal mak. i?nþ gida i?th. i?hr. san. ti?c. ltd. þti?.;NaN;;;;;
92;cr endüstri? gayri?menkul san. ve ti?c. ltd. þti?.;http://crendustri.com; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
93;damli mekatronik si?stemleri? i?nþ. yapi malz. i?ma. i?th. i?hr. ve gida san. ti?c. ltd. þti?.;NaN;;;;;
94;decker - composite construction materials;http://www.deck-er.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
95;deco ala poli?üretan üreti?m ve dekorasyon si?stemleri? san. ti?c. ltd. þti?.;https://www.decoala.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;BOYALAR VE BÝTÝRME;HÝZMETLER;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;
96;deko vi?zyon poli?üretan yapi ürünleri?;http://www.dekovizyon.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;CEPHE VE ÇATI;HÝZMETLER;;
97;dekoni?l i?ç ve diþ ti?c.ltd.þti?.;http://www.dekonil.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;HÝZMETLER;;;
98;dekopol ki?mya i?nþ. mi?marlik müh. nakli?ye emlak trz. san. ve ti?c. ltd. þti?.;NaN;;;;;
99;dekorafence plasti?k san. ti?c. ltd. þti?.;https://www.dekorafence.com; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
100;demi?rci? maki?na;http://www.demircimakina.com.tr; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;;
101;demi?rhan tel mamulleri? i?nþ. gida ve plasti?k san. ti?c. ltd. þti?.;http://www.demirhan.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;
102;deprem i?zolasyon derneði?;http://www.did.org.tr; HÝZMETLER;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
103;derby ki?mya san. ve ti?c. a.þ.;http://www.derbykimya.com; YAPI KÝMYASALLARI VE YALITIM;;;;
104;derevo diþ ti?c. a.þ.;NaN;;;;;
105;desen rulo sanayi? ve ti?caret li?mi?ted þi?rketi?;NaN;;;;;
106;di?zayn tekni?k boru ve elemanlari san. ve ti?c. a.þ.;https://www.dizayngrup.com;;;;;
107;doðuþ firça turi?zm i?nþ. san. ve ti?c. ltd. þti?.;NaN;;;;;
108;dönem maki?na (dmmet group);http://www.dmmet.com; CEPHE VE ÇATI;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;
109;dongguan hongfa steel structure mats. co.,ltd;http://www.hf-steel.com; CEPHE VE ÇATI;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
110;dorset yapi san. ti?c. ltd. þti?.;NaN;;;;;
111;dörtdi?van çerçeve ve macun san.ti?c.ltd.þti?.;http://www.dortdivan.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;BOYALAR VE BÝTÝRME;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;
112;downwaste urban disposal solutions;http://www.downwaste.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;
113;duplas mantar / ducork;http://www.duplas.com.tr; YAPI KÝMYASALLARI VE YALITIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;
114;düzce cam sanayi? ve ti?c. a.þ.;NaN;;;;;
115;eb i?thalat taahhüt i?nþ. malz. san. ti?c. ltd.þti?.;https://www.ebyapi.com;;;;;
116;ecolight ltd.;https://www.tumov.pro; YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;;;
117;efece galvani?z demi?r çeli?k sanayi? ve ti?caret a.þ.;http://www.efecegalvaniz.com; CEPHE VE ÇATI;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;PENCERE VE PROFÝL SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;
118;efece yapi ki?myasallari alümi?nyum ti?c. ve san. ltd. þti?.;NaN;;;;;
119;efectis era avrasya test ve belgelendi?rme a.þ.;https://www.efectis.com; YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;;;
120;egeli?plast plasti?k;http://www.egeliplast.com.tr; CEPHE VE ÇATI;PENCERE VE PROFÝL SÝSTEMLERÝ;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
121;egepanel endüstri? anoni?m þi?rketi?;https://www.egepanel.com.tr; CEPHE VE ÇATI;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
122;eki?p spor eki?pmanlari;http://www.ekipspor.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;ZEMÝN KAPLAMALARI VE DÖÞEME SÝSTEMLERÝ;;;
123;ekon cam si?stemleri? san. ti?c. ltd. þti?.;NaN;;;;;
124;ekþi?oðlu kanek i?nþ. metal san.ve ti?c. ltd. þti?.;http://www.kanek.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;;
125;elba bant san.ti?c.a.þ.;http://www.elbabant.com; BOYALAR VE BÝTÝRME;CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;;
126;elbe endustri san. ve tic. a.s.;NaN;;;;;
127;elex diþ ti?caret san. ve ti?c. ltd. þti?.;http://www.elexlaminat.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;;
128;elf grup asansör san. ti?c. fati?h þahi?n;https://www.elfasansor.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;;;
129;emek kapi si?stemleri?;http://www.emekkapi.com; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;;
130;enolgas bonomi s.p.a.;https://www.enolgas.it; ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;;;;
131;epsder - eps sanayi? derneði?;http://www.epsder.org.tr; CEPHE VE ÇATI;YAPI KÝMYASALLARI VE YALITIM;;;
132;epsi?lon-trimbox;http://www.epsilon.tc; AYDINLATMA VE ELEKTRÝK;BÝNA ÝÇÝ TASARIM VE DEKORASYON;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;
133;epsmaki?na elk. elekt. i?nþ. san. ti?c. ltd. þti?.;http://www.epsmakine.com; HÝZMETLER;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;
134;ergüven el aletleri? - mehmet erkan erkurt;www.erguvenelaletleri.com; NALBURÝYE VE EL ALETLERÝ;;;;
135;erkan mi?marlik i?nþ. dek. ve ti?c. ltd.þti?;http://www.erkanltd.com; CEPHE VE ÇATI;HÝZMETLER;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;
136;er-mo nalburi?ye;http://www.ermo.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;CEPHE VE ÇATI;NALBURÝYE VE EL ALETLERÝ;;
137;eska metal san. ti?c. ltd. þti?.;http://www.eskametal.com; CEPHE VE ÇATI;;;;
138;eski?taþ mühendi?sli?k i?nþ. ve i?nþ. malz. mobi?lya nakl. an. ti?c. ltd. þti?.;NaN;;;;;
139;eurostep;http://www.cakmakmetal.com; BÝNA ÝÇÝ TASARIM VE DEKORASYON;BOYALAR VE BÝTÝRME;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;NALBURÝYE VE EL ALETLERÝ;PENCERE VE PROFÝL SÝSTEMLERÝ
140;everest çeli?k kapi san. ti?c. ltd.þti?.;https://www.everestkapi.com.tr; KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ;;;
141;evo çi?t si?stemleri? san. ve ti?c. ltd. þti?;http://www.evocit.com; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;;;;
142;ezgi? yayincilik;http://www.insaatdunyasi.com.tr; HÝZMETLER;;;;
143;ezi?s i?nþaat san. ti?c. ltd. þti?.;http://www.tr-stones.com; SERAMÝK VE DOÐAL TAÞ;;;;
144;f&m universal company i?ç ve diþ ti?caret ltd. þti?.;http://www.panoramiknanomermer.com; HÝZMETLER;SERAMÝK VE DOÐAL TAÞ;;;
145;fati?h ferforje;http://www.fatih.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;BOYALAR VE BÝTÝRME;ÇEVRE DÜZENLEME VE KENTSEL TASARIM;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;
146;fd grup maki?na;http://www.fd-grup.com; HÝZMETLER;MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;NALBURÝYE VE EL ALETLERÝ;;
147;fence company a.þ.;http://www.fenceas.com; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;
148;ferplast plasti?k ferforje si?stemleri?;http://www.ferplast.com.tr; ÇEVRE DÜZENLEME VE KENTSEL TASARIM;KAPI, GEÇÝÞ, AKTARIM VE BÝNA OTOMASYON SÝSTEMLERÝ;;;
149;fineagles advanced engineering;http://www.fineagles.com; MAKÝNE, EKÝPMAN VE BÝLÝÞÝM;;;;
150;flekssi?t büro mobi?lyalari san. ti?c. a.þ.;http://www.flekssit.com.tr; BÝNA ÝÇÝ TASARIM VE DEKORASYON;;;;
151;floteks plasti?k san. ti?c. a.þ.;https://www.subterra.com.tr;;;;;
152;fms tesi?s ve yöneti?m hi?zmetleri? san. ve ti?c. a. þ.;NaN;;;;;
153;form endüstri? tesi?sleri?;http://www.formfabrika.com; AYDINLATMA VE ELEKTRÝK;CEPHE VE ÇATI;ISITMA, HAVALANDIRMA, ÝKLÝMLENDÝRME, SU TEKNOLOJÝLERÝ VE ENERJÝ;PENCERE VE PROFÝL SÝSTEMLERÝ;YANGIN GÜVENLÝÐI, GÜVENLÝK VE ÝÞ GÜVENLÝÐÝ
154;fuji? mühendi?sli?k i?nþaat san. ve ti?c. a.þ.;https://www.fujiengineering.com; YAPI MALZEMELERÝ VE YAPIM SÝSTEMLERÝ;;;;
155;gemon gida i?ç ve diþ san. ti?c. ltd. þti?;http://www.gemonltd.com;;;;;
